model,accuracy,precision,recall,f1_score,roc_auc
logistic_regression,0.7307692307692307,0.5555555555555556,0.3333333333333333,0.4166666666666667,0.7153153153153153
random_forest,0.4423076923076923,0.325,0.8666666666666667,0.4727272727272727,0.6018018018018018
xgboost,0.40384615384615385,0.3,0.8,0.43636363636363634,0.5594594594594595
