model,accuracy,precision,recall,f1_score,roc_auc
logistic_regression,0.9567901234567902,0.976,0.9682539682539683,0.9721115537848606,0.9485229276895943
random_forest,0.9567901234567902,0.983739837398374,0.9603174603174603,0.9718875502008032,0.9517195767195767
xgboost,0.9567901234567902,0.976,0.9682539682539683,0.9721115537848606,0.9325396825396826
stacking_ensemble,0.9567901234567902,0.976,0.9682539682539683,0.9721115537848606,0.9441137566137566
voting_ensemble,0.9567901234567902,0.976,0.9682539682539683,0.9721115537848606,0.9463183421516754
