model,accuracy,precision,recall,f1_score,roc_auc
logistic_regression,0.98,0.9818181818181818,0.9473684210526315,0.9642857142857143,0.9895718316770948
random_forest,0.98,0.9818181818181818,0.9473684210526315,0.9642857142857143,0.9896945160103054
xgboost,0.98,0.9818181818181818,0.9473684210526315,0.9642857142857143,0.9895718316770948
stacking_ensemble,0.98,0.9818181818181818,0.9473684210526315,0.9642857142857143,0.9898172003435161
voting_ensemble,0.98,0.9818181818181818,0.9473684210526315,0.9642857142857143,0.9896331738437001
