model,accuracy,precision,recall,f1_score,roc_auc
logistic_regression,0.7628205128205128,0.6818181818181818,0.3333333333333333,0.44776119402985076,0.6571571571571571
random_forest,0.7628205128205128,0.6818181818181818,0.3333333333333333,0.44776119402985076,0.6675675675675676
xgboost,0.7692307692307693,0.7142857142857143,0.3333333333333333,0.45454545454545453,0.6723723723723722
stacking_ensemble,0.7628205128205128,0.6818181818181818,0.3333333333333333,0.44776119402985076,0.6582582582582581
voting_ensemble,0.7628205128205128,0.6818181818181818,0.3333333333333333,0.44776119402985076,0.6584584584584584
